Unique ID,ChW Supply,Design Day,Operation Hours,Slab Thickness,Start Time,Tube Depth,Tube Spacing,WWR,Max Opt,Flux Peak,Flux TimeOfPeak,HCL Peak,HCL TimeOfPeak,HCL 2nd Peak,HCL 2nd TimeOfPeak,Cumulative Energy,99% Twb during Operation,90% Twb during Operation
05aefef0-03ad-11e7-97f0-206a8a9bea16,21.71270392,CZ02RV2,19,0.2032,11,0.1016,0.3048,0.2,25.82327764,-2713.457077,13:00:00,2830.888114,11:15:00,2432.318106,11:30:00,36.98855761,20.2653733329,17.3724205038
05aefef1-03ad-11e7-97f0-206a8a9bea16,20.0,CZ02RV2,12,0.2032,19,0.1016,0.3048,0.2,25.80208991,-2746.046179,12:15:00,5546.318796,19:15:00,4693.541761,19:30:00,37.14675653,17.8811543239,14.6513202362
05aefef2-03ad-11e7-97f0-206a8a9bea16,21.85415711,CZ02RV2,20,0.2032,7,0.1016,0.3048,0.2,25.81320591,-2813.773213,12:45:00,2508.880513,7:15:00,2132.537725,7:30:00,37.19894276,20.2653733329,17.3724205038
05aefef3-03ad-11e7-97f0-206a8a9bea16,17.27290984,CZ02RV2,6,0.2032,8,0.1016,0.3048,0.2,25.99277719,-3305.630207,13:30:00,9052.77949,8:15:00,7645.37135,8:30:00,34.91477705,19.9462825265,17.0574668889
05aefef4-03ad-11e7-97f0-206a8a9bea16,20.10158537,CZ02RV2,11,0.2032,3,0.1016,0.3048,0.2,25.81374729,-3149.137254,13:00:00,5700.043974,3:15:00,4803.308795,3:30:00,36.22514203,19.9462825265,17.0574668889
05b1613a-03ad-11e7-97f0-206a8a9bea16,22.03185887,CZ02RV2,15,0.254,13,0.0508,0.1524,0.2,25.79878021,-2612.1259,13:45:00,3706.629082,13:15:00,3385.593512,13:30:00,37.21672876,20.2653733329,17.3724205038
05b1613b-03ad-11e7-97f0-206a8a9bea16,21.22411139,CZ02RV2,10,0.254,8,0.0508,0.1524,0.2,25.80083108,-2995.845845,13:00:00,5222.307544,8:15:00,4725.580257,8:30:00,36.83466231,20.2653733329,17.3724205038
05b1613c-03ad-11e7-97f0-206a8a9bea16,21.38295153,CZ02RV2,12,0.254,14,0.0508,0.1524,0.2,25.77784434,-2575.632534,12:30:00,4754.122332,14:15:00,4321.171294,14:30:00,37.49957562,20.2653733329,17.3724205038
05b1613d-03ad-11e7-97f0-206a8a9bea16,20.0,CZ02RV2,7,0.254,11,0.0508,0.1524,0.2,25.95555795,-2924.071461,13:45:00,7350.148556,11:15:00,6657.853204,11:30:00,36.52578884,20.2653733329,17.3724205038
05b1613e-03ad-11e7-97f0-206a8a9bea16,20.90457848,CZ02RV2,10,0.254,20,0.0508,0.1524,0.2,25.76477269,-2728.785869,12:30:00,6055.397571,20:15:00,5459.835526,20:30:00,37.05192041,17.3672048306,14.0643362627
05b1613f-03ad-11e7-97f0-206a8a9bea16,22.16861959,CZ02RV2,20,0.254,14,0.0508,0.2286,0.2,25.79134402,-2720.572753,12:30:00,2932.441965,14:15:00,2603.093189,14:30:00,37.32348881,20.2653733329,17.3724205038
05b16140-03ad-11e7-97f0-206a8a9bea16,12.9059082,CZ02RV2,3,0.254,23,0.0508,0.2286,0.2,25.99642739,-2664.582429,12:30:00,16133.85801,23:15:00,14072.827,23:30:00,35.02041756,15.9283889764,13.5774512336
05b16141-03ad-11e7-97f0-206a8a9bea16,22.51430121,CZ02RV2,23,0.254,0,0.0508,0.2286,0.2,25.76988015,-2835.38931,12:45:00,2190.183303,0:15:00,1947.17837,0:30:00,37.33151992,20.2653733329,17.3724205038
05b16142-03ad-11e7-97f0-206a8a9bea16,22.20265392,CZ02RV2,19,0.254,9,0.0508,0.2286,0.2,25.78842695,-2799.756603,13:00:00,2557.01013,9:15:00,2267.976665,9:30:00,37.11250857,20.2653733329,17.3724205038
05b16143-03ad-11e7-97f0-206a8a9bea16,19.71624262,CZ02RV2,8,0.254,0,0.0508,0.2286,0.2,25.99872134,-2821.579383,12:15:00,7179.164532,0:15:00,6265.405902,0:30:00,35.75925234,17.0056691236,14.578866368
05b16144-03ad-11e7-97f0-206a8a9bea16,22.31544823,CZ02RV2,24,0.254,2,0.0508,0.3048,0.2,25.78107247,-2830.233091,12:45:00,1744.060061,18:00:00,1739.288375,17:45:00,37.1337619,20.2653733329,17.3724205038
05b3c452-03ad-11e7-97f0-206a8a9bea16,22.09906426,CZ02RV2,21,0.254,6,0.0508,0.3048,0.2,25.7953592,-2830.695293,12:45:00,2168.137933,6:15:00,1984.22505,6:30:00,36.9608878,20.2653733329,17.3724205038
05b3c453-03ad-11e7-97f0-206a8a9bea16,18.43487634,CZ02RV2,7,0.254,8,0.0508,0.3048,0.2,25.99360176,-3145.069747,13:15:00,7213.201467,8:30:00,7192.769493,8:15:00,36.39376899,20.2653733329,17.3724205038
05b3c454-03ad-11e7-97f0-206a8a9bea16,21.15416092,CZ02RV2,14,0.254,6,0.0508,0.3048,0.2,25.81115919,-2919.538227,13:00:00,3618.559997,6:15:00,3297.614588,6:30:00,36.04795376,20.2653733329,17.3724205038
05b3c455-03ad-11e7-97f0-206a8a9bea16,15.89221074,CZ02RV2,5,0.254,14,0.0508,0.3048,0.2,25.99400665,-2683.198761,18:00:00,9613.395653,14:30:00,9578.777446,14:15:00,35.51151051,20.2653733329,17.3724205038
05b3c456-03ad-11e7-97f0-206a8a9bea16,22.11732732,CZ02RV2,16,0.254,19,0.0762,0.1524,0.2,25.78901187,-2874.027314,12:15:00,4012.300092,19:15:00,3637.164891,19:30:00,37.17719849,19.2770812485,16.4494312319
05b3c457-03ad-11e7-97f0-206a8a9bea16,20.54770652,CZ02RV2,9,0.254,16,0.0762,0.1524,0.2,25.76524356,-2602.885879,12:30:00,6188.764734,16:15:00,5608.35561,16:30:00,37.37179015,19.5204482506,16.859949287
05b3c458-03ad-11e7-97f0-206a8a9bea16,22.81136155,CZ02RV2,24,0.254,23,0.0762,0.1524,0.2,25.75440362,-2823.208022,12:45:00,1840.682899,18:15:00,1839.427824,18:30:00,37.4728721,20.2653733329,17.3724205038
05b3c459-03ad-11e7-97f0-206a8a9bea16,22.81136155,CZ02RV2,24,0.254,17,0.0762,0.1524,0.2,25.75440362,-2823.208022,12:45:00,1840.682899,18:15:00,1839.427824,18:30:00,37.4728721,20.2653733329,17.3724205038
05b3c45a-03ad-11e7-97f0-206a8a9bea16,22.71554021,CZ02RV2,22,0.254,6,0.0762,0.1524,0.2,25.75983996,-2822.484971,12:45:00,1930.176583,18:15:00,1928.687511,18:00:00,37.42272508,20.2653733329,17.3724205038
05b3c45b-03ad-11e7-97f0-206a8a9bea16,15.59289389,CZ02RV2,4,0.254,4,0.0762,0.2286,0.2,25.995706,-2964.445089,12:15:00,12515.61569,4:15:00,10877.29784,4:30:00,34.62035359,17.0056691236,14.578866368
05b3c45c-03ad-11e7-97f0-206a8a9bea16,12.07041532,CZ02RV2,3,0.254,12,0.0762,0.2286,0.2,25.99867116,-3239.775574,15:15:00,16454.79856,12:15:00,14341.29288,12:30:00,36.06344502,20.2653733329,17.3724205038
05b625ee-03ad-11e7-97f0-206a8a9bea16,22.48062909,CZ02RV2,24,0.254,1,0.0762,0.2286,0.2,25.77217923,-2826.752691,12:45:00,1777.540258,18:15:00,1776.890679,18:30:00,37.39135123,20.2653733329,17.3724205038
05b633cc-03ad-11e7-97f0-206a8a9bea16,21.10560079,CZ02RV2,12,0.254,2,0.0762,0.2286,0.2,25.8158209,-3052.498637,13:00:00,5044.702376,2:15:00,4389.146983,2:30:00,36.35800234,19.9462825265,17.0574668889
05b633cd-03ad-11e7-97f0-206a8a9bea16,22.10648104,CZ02RV2,19,0.254,9,0.0762,0.2286,0.2,25.7941681,-2788.139203,13:00:00,2561.114478,9:15:00,2260.529557,9:30:00,37.11737741,20.2653733329,17.3724205038
05b633ce-03ad-11e7-97f0-206a8a9bea16,22.0854858,CZ02RV2,23,0.254,10,0.0762,0.3048,0.2,25.7959795,-2803.327308,12:45:00,2026.085311,10:45:00,1963.236413,10:30:00,37.87465082,20.2653733329,17.3724205038
05b633cf-03ad-11e7-97f0-206a8a9bea16,9.98419605,CZ02RV2,3,0.254,13,0.0762,0.3048,0.2,25.99442551,-3017.463446,16:45:00,15852.76353,13:45:00,15816.40512,13:30:00,37.98605643,20.2653733329,17.3724205038
05b633d0-03ad-11e7-97f0-206a8a9bea16,22.03607373,CZ02RV2,22,0.254,8,0.0762,0.3048,0.2,25.79939981,-2811.477744,12:45:00,2051.869636,8:30:00,2017.663407,8:15:00,37.35447803,20.2653733329,17.3724205038
05b633d1-03ad-11e7-97f0-206a8a9bea16,10.17988369,CZ02RV2,3,0.254,18,0.0762,0.3048,0.2,25.99508676,-2554.991553,12:30:00,15893.35984,18:15:00,14375.21976,18:30:00,35.21108097,18.7817288428,15.2521109782
05b65b5e-03ad-11e7-97f0-206a8a9bea16,20.11542974,CZ02RV2,12,0.254,14,0.0762,0.3048,0.2,25.78738354,-2593.452611,12:30:00,4645.079234,14:30:00,4608.152105,14:15:00,37.35796327,20.2653733329,17.3724205038
05b65b5f-03ad-11e7-97f0-206a8a9bea16,16.84307159,CZ02RV2,4,0.254,11,0.1016,0.1524,0.2,25.99671986,-3134.175403,14:30:00,11971.61203,11:15:00,10828.62264,11:30:00,36.2953912,20.2653733329,17.3724205038
05b65b60-03ad-11e7-97f0-206a8a9bea16,19.08249867,CZ02RV2,6,0.254,12,0.1016,0.1524,0.2,25.98813101,-2729.421609,14:15:00,8379.256998,12:15:00,7598.243251,12:30:00,36.88102238,20.2653733329,17.3724205038
05b65b61-03ad-11e7-97f0-206a8a9bea16,20.0,CZ02RV2,7,0.254,9,0.1016,0.1524,0.2,25.90956824,-3039.160338,13:30:00,7183.458575,9:15:00,6502.87175,9:30:00,36.32858621,20.2653733329,17.3724205038
05b65b62-03ad-11e7-97f0-206a8a9bea16,21.7681643,CZ02RV2,12,0.254,3,0.1016,0.1524,0.2,25.82155051,-3029.645469,13:00:00,4783.661655,3:15:00,4314.607927,3:30:00,36.5015489,20.2653733329,17.3724205038
05b65b63-03ad-11e7-97f0-206a8a9bea16,22.69849958,CZ02RV2,22,0.254,1,0.1016,0.1524,0.2,25.76065488,-2837.533243,12:45:00,2281.577599,1:15:00,2072.105743,1:30:00,37.3950627,20.2653733329,17.3724205038
05b6826e-03ad-11e7-97f0-206a8a9bea16,20.0,CZ02RV2,9,0.254,1,0.1016,0.2286,0.2,25.8837663,-3002.905351,12:15:00,6564.454271,1:15:00,5714.598077,1:30:00,36.10364764,18.8964595359,16.3173648562
05b6826f-03ad-11e7-97f0-206a8a9bea16,19.81265198,CZ02RV2,8,0.254,4,0.1016,0.2286,0.2,25.99844856,-3165.15795,12:15:00,6988.206781,4:15:00,6080.42567,4:30:00,35.36602756,19.7015789128,16.5696674232
05b68270-03ad-11e7-97f0-206a8a9bea16,22.34447329,CZ02RV2,22,0.254,19,0.1016,0.2286,0.2,25.77998293,-2848.117909,12:45:00,2726.698422,19:15:00,2407.950488,19:30:00,37.20262552,20.2653733329,17.3724205038
05b68271-03ad-11e7-97f0-206a8a9bea16,20.0,CZ02RV2,9,0.254,7,0.1016,0.2286,0.2,25.860733,-3042.916576,13:15:00,6126.528831,7:15:00,5339.024793,7:30:00,36.35275784,20.2653733329,17.3724205038
05b68272-03ad-11e7-97f0-206a8a9bea16,19.62659866,CZ02RV2,8,0.254,23,0.1016,0.2286,0.2,25.98831032,-2814.791324,12:15:00,7181.792525,23:15:00,6254.403816,23:30:00,35.73588114,15.9283889764,13.9098142816
05b68273-03ad-11e7-97f0-206a8a9bea16,21.43991938,CZ02RV2,18,0.254,12,0.1016,0.3048,0.2,25.77052486,-2694.58955,13:00:00,2901.144213,12:15:00,2656.770831,12:30:00,36.78582819,20.2653733329,17.3724205038
05b68274-03ad-11e7-97f0-206a8a9bea16,13.73298089,CZ02RV2,4,0.254,8,0.1016,0.3048,0.2,25.99315138,-3331.705271,12:15:00,12296.29269,8:30:00,12283.88348,8:15:00,36.17507261,19.7015789128,16.5696674232
05b6a992-03ad-11e7-97f0-206a8a9bea16,15.95910655,CZ02RV2,5,0.254,21,0.1016,0.3048,0.2,25.99475263,-2666.719321,12:30:00,9809.858305,21:15:00,8861.656052,21:30:00,33.60011568,17.3672048306,13.9579061187
05b6a993-03ad-11e7-97f0-206a8a9bea16,21.11096371,CZ02RV2,16,0.254,19,0.1016,0.3048,0.2,25.81362317,-2910.57301,12:15:00,3916.836567,19:45:00,3894.790419,19:30:00,37.94864193,19.2770812485,16.4494312319
05b6a994-03ad-11e7-97f0-206a8a9bea16,16.36180904,CZ02RV2,5,0.254,6,0.1016,0.3048,0.2,25.99241833,-3221.839639,12:15:00,9455.400422,6:15:00,8532.125524,6:30:00,32.51950605,19.2770812485,16.4494312319
05b6a995-03ad-11e7-97f0-206a8a9bea16,22.04646786,CZ02RV2,14,0.3048,7,0.0508,0.1524,0.2,25.79846999,-2893.0565,13:00:00,3706.129124,7:15:00,3344.928361,7:30:00,37.13008287,20.2653733329,17.3724205038
05b6a996-03ad-11e7-97f0-206a8a9bea16,14.69442961,CZ02RV2,3,0.3048,14,0.0508,0.1524,0.2,25.99514506,-3067.29412,17:00:00,16026.35198,14:15:00,14390.01182,14:30:00,36.34650694,20.2653733329,17.3724205038
05b6a997-03ad-11e7-97f0-206a8a9bea16,21.11974499,CZ02RV2,10,0.3048,0,0.0508,0.1524,0.2,25.8128331,-2872.773339,12:30:00,6037.038321,0:15:00,5411.7621,0:30:00,36.56897384,18.8964595359,16.3173648562
05b6d034-03ad-11e7-97f0-206a8a9bea16,22.13888678,CZ02RV2,16,0.3048,17,0.0508,0.1524,0.2,25.78779478,-2730.215696,12:30:00,3986.009661,17:15:00,3605.564622,17:30:00,37.12446826,19.078530503,15.9736974254
05b6d035-03ad-11e7-97f0-206a8a9bea16,15.83970821,CZ02RV2,3,0.3048,8,0.0508,0.1524,0.2,25.9969378,-3248.042353,11:00:00,14920.53465,8:15:00,13387.98141,8:30:00,33.82759562,19.2770812485,16.4494312319
05b6d036-03ad-11e7-97f0-206a8a9bea16,20.82357948,CZ02RV2,11,0.3048,0,0.0508,0.2286,0.2,25.78415305,-2924.119731,12:15:00,5069.129808,0:15:00,4669.843774,0:30:00,35.49621421,19.2770812485,16.4494312319
05b6d037-03ad-11e7-97f0-206a8a9bea16,22.29838767,CZ02RV2,20,0.3048,11,0.0508,0.2286,0.2,25.78156874,-2778.008073,13:00:00,2417.309509,11:30:00,2371.561575,11:15:00,36.62345673,20.2653733329,17.3724205038
05b6d038-03ad-11e7-97f0-206a8a9bea16,21.5220929,CZ02RV2,15,0.3048,19,0.0508,0.2286,0.2,25.75537022,-2813.497279,12:30:00,4001.46235,19:45:00,3983.374577,19:30:00,37.64094881,18.8964595359,16.3173648562
05b6f744-03ad-11e7-97f0-206a8a9bea16,21.13746315,CZ02RV2,13,0.3048,16,0.0508,0.2286,0.2,25.81033446,-2655.889014,12:30:00,4426.624674,16:45:00,4398.443235,16:30:00,38.06504805,19.5204482506,16.859949287
05b6ff64-03ad-11e7-97f0-206a8a9bea16,20.8779055,CZ02RV2,12,0.3048,13,0.0508,0.2286,0.2,25.77265202,-2660.400447,13:15:00,4491.065287,13:45:00,4453.395725,13:30:00,37.77249523,20.2653733329,17.3724205038
05b6ff65-03ad-11e7-97f0-206a8a9bea16,22.10843809,CZ02RV2,21,0.3048,20,0.0508,0.3048,0.2,25.7944009,-2853.632996,12:45:00,2713.198154,20:30:00,2686.027119,20:15:00,37.0040118,20.2653733329,17.3724205038
