Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),ZONE1:Zone People Number Of Occupants [](Hourly),ZONE1:Zone People Total Heat Gain [J](Hourly),ZONE1:Zone Window Heat Gain[W](Hourly),ZONE1:Zone Window Heat Loss[W](Hourly),ZONE1:Zone Transmitted Solar Energy[J](Hourly),ZONE1_FACE_1_WINDOW_1:Window Transmitted Beam Solar [W](Hourly),ZONE1_FACE_1_WINDOW_1:Window Heat Gain [W](Hourly),ZONE1_FACE_1_WINDOW_1:Window Heat Loss [W](Hourly),ZONE1:Zone Mean Radiant Temperature [C](Hourly),ZONE1:Zone Mean Air Temperature [C](Hourly),ZONE1:Zone Operative Temperature [C](Hourly)
 01/05  14:00:00,10.15,2.1,7.06063104,3050192.60928,1935.9793284758,0,5279041.36289139,665.948486144,1115.7802830362,0,22.4489270259,22,22.224463513
 01/05  15:00:00,10.9125,3.0375,7.06063104,3050192.60928,847.4164190155,0,2525964.93855021,261.7301751542,459.4614431036,0,21.9488996895,22,21.9744498447
 01/05  16:00:00,10.4125,2.6625,7.06063104,3050192.60928,33.0967926726,40.0892724766,395199.275085282,9.3525962019,17.8618966748,11.5529574229,21.2168101742,22,21.6084050871
 01/05  17:00:00,10.375,0.7875,7.06063104,3050192.60928,0,155.6083844097,24484.830454041,0,0,52.9429942384,20.9424549081,22,21.471227454
 01/05  18:00:00,9.85,0.9375,5.20257024,2247510.34368,0,171.0136971022,0,0,0,58.2603238825,20.7425939879,22,21.3712969939
 01/05  19:00:00,9.0875,0.5625,2.97289728,1284291.62496,0,181.1415330505,0,0,0,61.7058161066,20.5292019741,22,21.2646009871
 01/05  20:00:00,8.9,0,2.97289728,1284291.62496,0,154.9839910586,0,0,0,52.7745534805,18.8980526031,15.01627225,16.9571624265
 01/05  21:00:00,8.2125,0.9375,0.74322432,321072.90624,0,143.4885600227,0,0,0,48.8343828827,17.7375631982,15.0000000021,16.3687816001
 01/05  22:00:00,8.1125,1.875,0.74322432,321072.90624,0,137.4712744254,0,0,0,46.741883494,17.3034954608,15,16.1517477304
 01/05  23:00:00,7.9875,2.725,0.37161216,160536.45312,0,136.3532778101,0,0,0,46.3889198435,16.9938420114,15,15.9969210057
 01/05  24:00:00,7.425,3.1,0.37161216,160536.45312,0,140.4563290617,0,0,0,47.7111981588,16.7644896716,15,15.8822448358
 01/06  01:00:00,7.2,2.7875,0,0,0,145.131000304,0,0,0,49.316166863,16.7618383043,15.8163785903,16.2891084473
 01/06  02:00:00,6.8875,3.225,0,0,0,151.7974897988,0,0,0,51.5937534579,16.7688743059,15.8808603538,16.3248673299
 01/06  03:00:00,6.7,3.6,0,0,0,152.2626916753,0,0,0,51.7273905698,16.6679367899,15.7729355725,16.2204361812
 01/06  04:00:00,6.7,3.6,0,0,0,150.1149572292,0,0,0,50.9919193088,16.5683563886,15.6853420769,16.1268492327
 01/06  05:00:00,6.325,3.2875,0,0,0,153.9064861483,0,0,0,52.2957001752,16.4630802872,15.5600721383,16.0115762127
 01/06  06:00:00,6.1,1.1625,0,0,0,155.7796379756,0,0,0,52.9833613169,16.352905335,15.4387991778,15.8958522564
 01/06  07:00:00,5.7875,1.625,0.74322432,321072.90624,0,192.0212738529,0,0,0,65.4721652199,17.7843545647,21.8813178088,19.8328361868
 01/06  08:00:00,5.225,2.2875,0.74322432,321072.90624,164.5425007575,108.7065537031,661287.535707391,35.9559989339,45.2424010124,37.0418202508,18.8991878556,21.9999460765,20.449566966
 01/06  09:00:00,5.375,2.1,3.7161216,1605364.5312,1038.5180421551,0,3084059.53288764,228.0682012858,381.6883668001,0,19.9799412326,21.9999994615,20.989970347
 01/06  10:00:00,5.9125,3.6625,3.7161216,1605364.5312,1346.3248776578,0,3880795.54379977,316.0744243021,573.2402702477,0,20.545843948,21.9999999845,21.2729219663
 01/06  11:00:00,6.475,3.6625,3.7161216,1605364.5312,857.7462984096,0,2649877.15086536,192.4678983441,423.0351195128,0,20.4476414282,21.9999999996,21.2238207139
 01/06  12:00:00,6.7,2.7875,3.7161216,1605364.5312,657.1994055254,0,2155336.90324041,155.0610798911,368.3459799211,0,20.4483471888,22,21.2241735944
 01/06  13:00:00,7.0125,0.975,3.7161216,1605364.5312,1555.4017851264,0,4408777.93371309,487.3235080954,913.7429541405,0,21.3501609319,22,21.675080466
 01/06  14:00:00,7.575,0.9375,3.7161216,1605364.5312,1471.4850147941,0,4183686.85522402,462.1798315106,844.822673728,0,21.6393562971,22,21.8196781485
 01/06  15:00:00,8.1125,2.1875,0.74322432,321072.90624,695.2278947718,0,2235641.51015744,210.5603298497,381.5479355702,0,21.2228928694,22,21.6114464347
 01/06  16:00:00,8.3,1.9125,0.74322432,321072.90624,26.6293581643,48.3654868704,431940.480670268,7.655355466,14.9181512395,14.296104097,20.658657073,22,21.3293285365
 01/06  17:00:00,8.3,1.5,0.74322432,321072.90624,0,183.8862003064,28650.7050684509,0,0,62.4333952528,20.4432745524,22,21.2216372762
 01/06  18:00:00,8.3,1.875,0,0,0,175.9153431002,0,0,0,59.7288971838,19.818035503,19.1253937181,19.4717146105
 01/06  19:00:00,8.3,1.725,0,0,0,161.9266082068,0,0,0,55.0149382668,19.0089472125,17.9506800485,18.4798136305
 01/06  20:00:00,7.9875,0.5625,0,0,0,161.3862389302,0,0,0,54.8880330612,18.5305360286,17.5064262921,18.0184811604
 01/06  21:00:00,7.1125,1.3125,0,0,0,165.2483779598,0,0,0,56.138092633,18.1300414833,17.0858060913,17.6079237873
 01/06  22:00:00,6.7,0.7875,0,0,0,161.8717829749,0,0,0,54.9656286642,17.7774965836,16.7413644479,17.2594305157
 01/06  23:00:00,8.7625,3.5625,0,0,0,126.6386511824,0,0,0,42.9040226697,17.5587898973,16.7249089147,17.141849406
 01/06  24:00:00,9.3125,4.7,0,0,0,123.3803172196,0,0,0,41.8772079972,17.425998735,16.6846302741,17.0553145046
 01/07  01:00:00,9.2125,4.1,0,0,0,125.5249282423,0,0,0,42.7318526175,17.2664886314,16.5262219679,16.8963552996
 01/07  02:00:00,9.0875,2.475,0,0,0,122.5306143458,0,0,0,41.6400930592,17.1631635301,16.4228321938,16.792997862
 01/07  03:00:00,7.15,1.5,0,0,0,147.8781336996,0,0,0,50.2390416975,17.0026953123,16.1087681639,16.5557317381
 01/07  04:00:00,6.475,1.5,0,0,0,155.2211515623,0,0,0,52.7590205055,16.808195594,15.8591755491,16.3336855715
 01/07  05:00:00,7.0125,2.1875,0,0,0,147.2673072276,0,0,0,50.0866371142,16.6919389485,15.8058137047,16.2488763266
 01/07  06:00:00,7.8875,1.9125,0,0,0,130.9527538772,0,0,0,44.5164122562,16.6071771065,15.8143303468,16.2107537266
 01/07  07:00:00,7.9875,0.5625,0,0,0,122.3025804828,0,0,0,41.4975539533,16.5382226851,15.7765435399,16.1573831125
 01/07  08:00:00,8.4875,0.9375,0,0,0,99.7118467128,31337.3306128492,0,0,33.7038256431,16.480010442,15.7658082226,16.1229093323
 01/07  09:00:00,8.9,1.875,0,0,3.4544099692,24.6530907949,214376.445591654,0,1.9033821298,7.3170593538,16.5306883104,15.8500450962,16.1903667033
